[Tuesday/January 06/01/2026 20:54:27] /home/niconico/.local/share/Anki2/User 1/collection.media/lovelivesuperstars03e06_07m51s841ms_08m00s985ms.mp3 | length=9.144 | time=8.8961165289433
[Tuesday/January 06/01/2026 20:55:48] /home/niconico/.local/share/Anki2/User 1/collection.media/lovelivesuperstars03e06_08m43s895ms_08m53s239ms.mp3 | length=9.344 | time=9.0882542059433
[Tuesday/January 06/01/2026 21:06:08] /home/niconico/.local/share/Anki2/User 1/collection.media/lovelivesuperstars03e06_16m29s783ms_16m39s594ms.mp3 | length=9.811 | time=9.5788812596099
[Wednesday/January 07/01/2026 19:37:09] /home/niconico/.local/share/Anki2/User 1/collection.media/lovelivesuperstars03e09_04m33s530ms_04m41s539ms.mp3 | length=8.009 | time=7.7655130332767
[Wednesday/January 07/01/2026 19:43:26] /home/niconico/.local/share/Anki2/User 1/collection.media/lovelivesuperstars03e09_10m06s577ms_10m16s789ms.mp3 | length=10.212 | time=9.9841362889432
[Wednesday/January 07/01/2026 19:44:56] /home/niconico/.local/share/Anki2/User 1/collection.media/lovelivesuperstars03e09_11m00s531ms_11m10s013ms.mp3 | length=9.482 | time=9.2375439202766
[Thursday/January 08/01/2026 14:21:03] /mnt/GAME_DISK/[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]/Season 2/Love Live! Superstar!! - S02E09.mkv | length=1423.09 | time=902.193
[Thursday/January 08/01/2026 14:22:53] /mnt/GAME_DISK/[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]/Season 2/Love Live! Superstar!! - S02E10.mkv | length=1422.08 | time=1192.191
[Thursday/January 08/01/2026 14:24:01] /mnt/GAME_DISK/[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]/Season 2/Love Live! Superstar!! - S02E11.mkv | length=1423.09 | time=976.684
[Thursday/January 08/01/2026 14:24:26] /mnt/GAME_DISK/[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]/Season 2/Love Live! Superstar!! - S02E05.mkv | length=1423.082 | time=1340.548
[Thursday/January 08/01/2026 17:01:58] /mnt/GAME_DISK/[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]/Season 3/Love Live! Superstar!! - S03E11.mkv | length=1423.098 | time=244.202
[Thursday/January 08/01/2026 17:19:57] /home/niconico/.local/share/Anki2/User 1/collection.media/lovelivesuperstars03e11_20m21s294ms_20m28s231ms.mp3 | length=6.937 | time=6.7094770549433
[Thursday/January 08/01/2026 17:31:20] /home/niconico/.local/share/Anki2/User 1/collection.media/lovelivesuperstars03e12_08m52s931ms_08m59s838ms.mp3 | length=6.907 | time=6.6775395079433
[Thursday/January 08/01/2026 17:32:46] /home/niconico/.local/share/Anki2/User 1/collection.media/lovelivesuperstars03e12_09m55s126ms_10m02s234ms.mp3 | length=7.108 | time=6.8695338369433
